GreenViewRate,Arbor-Bush,Vertical,Roof,Arbor,Road,Bonsai,Category
55,1,0,0,0,0,0,1
39,1,0,0,0,1,1,3
35,1,0,0,1,1,1,4
30,1,0,0,1,1,1,4
38,1,1,0,1,1,0,4
50,1,1,0,0,1,1,4
25,1,1,0,1,0,0,3
14,1,0,0,1,1,0,3
69,1,1,0,0,0,0,2
70,1,1,0,0,1,1,4
15,0,1,0,1,0,0,2
15,1,0,1,1,1,1,5
14,1,1,0,1,1,0,4
40,1,1,0,0,0,0,2
6,0,1,1,0,1,0,3
16,1,1,0,1,1,0,4
13,1,1,1,0,1,0,4
52,1,0,0,0,0,0,1
58,1,1,0,1,0,0,3
4,0,0,0,1,0,1,2
8,1,1,0,1,0,0,3
4,1,0,1,0,1,0,3
51,1,0,0,0,0,0,1
19,0,1,0,1,1,0,3
0,0,0,1,0,1,0,2
15,1,0,0,1,1,0,3
27,1,0,0,1,1,0,3
1,0,0,1,0,0,1,2
7,1,0,0,0,0,0,1
21,0,0,0,1,1,0,2
6,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0
24,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0
13,0,0,1,1,0,0,2
3,0,0,1,1,0,1,3
3,1,0,1,1,0,1,4
14,0,0,1,1,1,1,4
2,0,0,1,0,0,0,1
10,1,0,0,1,0,1,3
1,0,0,0,1,1,1,3
2,0,0,0,0,1,1,2
1,0,0,1,1,1,1,4
3,0,0,1,1,0,0,2
0,0,0,1,0,0,0,1
12,0,0,1,1,0,0,2
1,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
8,0,0,1,0,0,0,1
1,0,0,1,0,1,1,3
1,0,0,0,0,1,1,2
5,0,0,0,0,1,0,1
5,0,0,0,0,1,1,2
0,0,0,0,1,1,0,2
1,0,0,0,1,1,1,3
11,0,0,0,1,1,0,2
7,0,0,1,1,1,0,3
8,0,0,1,1,1,1,4
2,0,0,1,0,0,0,1
7,0,0,1,1,1,1,4
1,0,0,1,1,0,0,2
40,1,0,0,0,1,1,3
